iter	Passed	Remaining
0	257	51224
1	331	32844
2	396	26060
3	519	25466
4	598	23327
5	709	22929
6	769	21202
7	855	20533
8	1037	22018
9	1198	22776
10	1327	22811
11	1423	22303
12	1547	22264
13	1687	22423
14	1794	22137
15	1907	21941
16	2046	22030
17	2137	21612
18	2211	21070
19	2303	20732
20	2410	20543
21	2496	20202
22	2592	19948
23	2689	19721
24	2796	19573
25	2936	19649
26	3069	19668
27	3183	19553
28	3287	19386
29	3391	19217
30	3497	19066
31	3601	18907
32	3703	18743
33	3811	18606
34	3910	18435
35	4007	18257
36	4102	18071
37	4174	17798
38	4234	17480
39	4291	17165
40	4350	16872
41	4420	16629
42	4481	16362
43	4551	16138
44	4614	15893
45	4673	15644
46	4738	15426
47	4791	15172
48	4858	14972
49	4915	14746
50	4982	14556
51	5048	14370
52	5095	14132
53	5170	13978
54	5235	13801
55	5291	13607
56	5346	13412
57	5394	13206
58	5440	13001
59	5484	12798
60	5528	12596
61	5571	12401
62	5613	12207
63	5661	12030
64	5703	11844
65	5753	11680
66	5798	11510
67	5845	11347
68	5889	11182
69	5927	11007
70	5969	10846
71	6013	10689
72	6055	10534
73	6096	10379
74	6136	10227
75	6180	10083
76	6221	9938
77	6265	9800
78	6310	9665
79	6351	9527
80	6392	9391
81	6436	9262
82	6477	9130
83	6525	9010
84	6568	8886
85	6612	8765
86	6655	8644
87	6697	8524
88	6735	8400
89	6773	8278
90	6820	8169
91	6855	8048
92	6903	7942
93	6953	7841
94	7001	7738
95	7044	7631
96	7087	7526
97	7133	7424
98	7176	7321
99	7213	7213
100	7256	7112
101	7305	7019
102	7342	6914
103	7391	6823
104	7455	6745
105	7512	6661
106	7586	6593
107	7631	6501
108	7683	6414
109	7724	6320
110	7766	6227
111	7814	6139
112	7858	6050
113	7906	5964
114	7949	5875
115	7991	5786
116	8029	5696
117	8068	5607
118	8118	5526
119	8157	5438
120	8196	5351
121	8237	5266
122	8281	5184
123	8324	5102
124	8365	5019
125	8411	4940
126	8459	4862
127	8496	4779
128	8544	4702
129	8591	4626
130	8638	4550
131	8676	4469
132	8714	4389
133	8760	4314
134	8810	4242
135	8863	4170
136	8911	4097
137	8959	4025
138	9002	3950
139	9054	3880
140	9111	3812
141	9160	3741
142	9203	3668
143	9251	3597
144	9298	3527
145	9344	3456
146	9391	3385
147	9433	3314
148	9484	3246
149	9531	3177
150	9582	3109
151	9640	3044
152	9699	2979
153	9776	2920
154	9825	2852
155	9892	2790
156	9940	2722
157	9995	2657
158	10037	2588
159	10080	2520
160	10131	2454
161	10173	2386
162	10228	2321
163	10274	2255
164	10331	2191
165	10373	2124
166	10420	2059
167	10472	1994
168	10520	1929
169	10568	1865
170	10615	1800
171	10661	1735
172	10710	1671
173	10769	1609
174	10817	1545
175	10865	1481
176	10904	1416
177	10958	1354
178	10999	1290
179	11037	1226
180	11080	1163
181	11127	1100
182	11173	1038
183	11215	975
184	11265	913
185	11309	851
186	11353	789
187	11400	727
188	11452	666
189	11497	605
190	11542	543
191	11585	482
192	11631	421
193	11681	361
194	11726	300
195	11772	240
196	11817	179
197	11857	119
198	11898	59
199	11945	0
